customer_id,transaction_date,transaction_amount
ID0234,2022-02-19,247.49
ID0051,2021-11-02,686.36
ID1199,2024-03-08,42.12
ID0302,2020-03-18,169.81
ID1103,2022-03-02,462.06
ID1258,2020-03-21,266.96
ID0548,2021-06-26,946.65
ID0318,2024-08-06,872.44
ID0229,2023-09-18,116.23
ID0529,2022-01-10,752.93
ID0506,2022-12-03,48.71
ID0828,2023-10-15,906.36
ID0792,2020-03-17,689.51
ID0885,2020-09-08,828.81
ID0967,2023-12-26,888.20
ID1271,2020-09-11,199.28
ID1124,2020-11-29,24.73
ID0665,2024-09-29,242.54
ID0827,2022-05-15,536.75
ID1139,2021-01-13,22.59
ID0726,2020-04-28,246.00
ID0792,2021-10-12,259.70
ID0032,2021-02-03,612.05
ID0566,2024-02-15,269.55
ID0660,2022-05-12,857.07
ID0674,2022-03-25,24.78
ID0404,2021-09-17,429.81
ID0577,2021-06-12,704.49
ID1004,2023-12-16,856.82
ID0651,2022-06-25,114.26
ID0585,2020-08-18,755.04
ID1252,2024-03-23,385.13
ID0473,2020-10-30,720.89
ID0990,2022-01-06,624.81
ID0182,2021-02-12,981.01
ID0804,2021-05-25,941.70
ID0660,2021-07-03,255.68
ID0055,2022-05-31,865.66
ID0273,2022-01-06,163.66
ID1090,2023-01-31,801.46
ID0446,2023-01-16,499.21
ID0439,2021-02-27,222.57
ID0637,2024-12-11,805.79
ID0032,2020-05-13,672.98
ID0861,2022-08-29,157.63
ID0881,2024-01-31,30.55
ID0752,2023-06-19,825.96
ID1301,2021-06-01,170.73
ID0127,2020-07-01,935.33
ID0496,2023-01-14,701.87
ID0338,2024-09-12,275.64
ID1183,2024-07-28,452.97
ID1093,2020-05-25,942.08
ID0862,2024-01-21,714.11
ID0376,2021-01-30,165.92
ID0058,2020-09-19,286.42
ID0004,2022-11-30,960.07
ID0435,2022-05-25,479.97
ID1205,2022-09-25,527.57
ID0654,2024-01-05,139.19
ID0986,2022-02-04,754.53
ID0777,2024-09-25,913.51
ID1121,2021-10-01,854.27
ID1052,2024-11-18,624.49
ID1062,2022-09-22,629.96
ID0706,2022-06-09,997.32
ID0054,2022-07-16,556.00
ID1076,2024-08-22,715.85
ID0401,2021-09-01,372.34
ID0245,2024-07-01,505.94
ID0681,2022-01-31,984.02
ID1103,2023-01-24,957.18
ID0587,2022-01-02,162.24
ID0278,2023-07-24,155.97
ID1295,2023-03-31,552.28
ID0188,2023-06-18,895.20
ID0643,2024-10-21,179.88
ID0772,2020-11-14,180.36
ID0067,2020-03-05,546.71
ID0719,2021-01-14,823.14
ID0846,2020-06-25,830.05
ID0668,2020-08-27,485.62
ID0441,2022-04-22,826.49
ID0191,2020-11-30,919.92
ID0249,2024-09-05,292.50
ID1141,2024-11-29,303.22
ID0637,2021-11-19,881.88
ID0714,2023-06-17,757.36
ID0418,2021-06-11,847.37
ID0371,2022-07-11,787.50
ID0248,2023-10-28,208.48
ID0777,2024-03-16,718.44
ID0736,2020-09-14,508.47
ID0546,2022-07-08,916.48
ID0947,2020-04-28,341.64
ID0575,2023-01-21,989.42
ID0140,2020-12-10,892.82
ID0482,2022-09-10,44.53
ID1094,2021-06-19,447.01
ID1222,2020-01-20,407.85
ID1265,2022-01-27,753.09
ID0462,2022-09-12,112.87
ID1260,2024-04-14,99.56
ID0231,2022-03-26,223.54
ID0768,2021-08-15,63.37
ID0473,2021-05-29,887.43
ID1035,2024-12-05,806.78
ID0105,2022-01-26,267.82
ID0213,2022-08-07,485.93
ID0443,2022-01-09,496.11
ID0929,2024-04-09,704.74
ID0971,2020-07-14,28.43
ID0991,2021-07-15,891.00
ID0286,2022-07-01,28.09
ID0767,2020-09-15,546.81
ID1162,2021-07-30,878.69
ID0397,2020-01-28,454.87
ID0388,2021-09-09,222.09
ID1209,2023-09-14,876.21
ID0732,2022-07-26,27.19
ID0796,2022-12-25,693.69
ID1278,2022-12-13,446.19
ID0519,2024-04-28,78.32
ID0109,2022-02-20,879.70
ID0944,2022-05-31,742.57
ID0850,2023-10-21,68.86
ID0249,2021-02-11,216.10
ID0575,2021-12-19,717.10
ID0081,2022-08-10,266.21
ID0973,2023-06-08,325.41
ID0555,2022-07-23,368.14
ID0779,2022-01-04,980.48
ID0455,2024-01-11,820.78
ID0307,2023-12-25,628.96
ID1078,2020-04-21,606.37
ID1123,2021-11-30,786.71
ID0404,2020-05-18,803.15
ID0909,2021-09-03,782.30
ID0733,2021-12-31,916.48
ID0091,2020-06-01,582.69
ID0573,2021-07-13,986.80
ID0743,2021-08-14,928.04
ID1098,2022-03-18,113.27
ID0039,2023-04-14,323.08
ID1045,2020-02-04,755.94
ID0164,2024-01-01,16.32
ID0265,2023-01-31,159.25
ID0270,2024-03-20,444.77
ID0888,2021-09-15,402.54
ID0271,2021-09-08,303.68
ID0689,2023-06-29,866.65
ID0453,2020-11-20,755.71
ID0564,2020-05-11,220.69
ID0200,2024-06-12,313.66
ID0946,2020-08-03,668.55
ID1157,2021-06-19,680.32
ID0420,2021-07-07,214.23
ID0599,2024-11-02,955.72
ID0447,2020-06-30,496.70
ID0803,2023-10-11,637.68
ID0915,2024-01-09,975.06
ID0954,2024-06-12,528.09
ID0980,2024-12-03,658.55
ID0141,2020-04-02,989.23
ID0388,2023-05-18,844.78
ID0199,2021-02-05,598.89
ID0997,2020-02-28,955.45
ID1207,2020-06-30,949.58
ID1167,2021-04-08,250.63
ID1288,2023-01-03,166.25
ID0683,2024-12-22,363.65
ID0156,2023-05-28,69.69
ID1152,2023-12-12,92.30
ID1234,2024-07-23,534.03
ID0339,2021-04-11,546.36
ID1214,2022-11-24,809.63
ID1293,2020-05-11,748.73
ID1062,2023-12-21,48.32
ID0095,2023-08-13,477.84
ID0448,2024-01-03,849.88
ID0436,2023-04-11,785.66
ID0516,2022-10-13,449.27
ID0145,2023-02-22,525.69
ID0566,2023-07-13,949.41
ID1022,2023-10-19,660.45
ID0850,2024-02-02,916.31
ID0629,2024-03-19,671.87
ID0502,2022-04-13,733.81
ID0008,2022-03-12,452.40
ID0901,2024-07-24,674.95
ID0429,2021-05-31,418.03
ID0252,2022-09-22,749.17
ID0688,2024-03-10,424.57
ID0850,2023-05-09,706.77
ID1219,2024-04-08,687.61
ID1049,2021-11-17,260.67
ID0523,2021-10-01,307.02
ID0079,2021-02-03,361.04
ID0844,2022-03-06,909.99
ID1253,2023-02-15,957.11
ID0144,2022-06-16,250.47
ID0763,2023-11-15,893.24
ID1117,2021-03-06,493.53
ID0672,2022-11-19,799.86
ID0994,2021-07-24,350.76
ID0120,2022-09-16,35.39
ID0698,2020-09-14,741.02
ID0134,2021-11-03,482.62
ID1038,2023-08-09,511.57
ID0684,2022-05-15,570.36
ID0990,2020-03-14,669.82
ID1120,2024-01-12,622.04
ID1144,2020-12-28,624.43
ID0259,2020-04-01,702.71
ID0134,2020-11-29,690.64
ID0808,2021-08-04,422.96
ID0023,2020-03-24,13.23
ID0430,2021-05-14,540.47
ID0757,2020-09-13,343.19
ID0506,2021-05-02,267.55
ID0294,2023-03-24,446.84
ID1168,2022-07-17,617.48
ID0395,2023-12-10,871.54
ID1278,2020-09-15,300.76
ID0788,2022-03-03,326.29
ID0321,2021-11-20,295.96
ID0423,2022-06-29,764.88
ID0625,2024-12-22,707.40
ID0899,2021-10-08,982.56
ID0657,2021-03-13,997.82
ID0601,2023-02-19,483.20
ID0886,2023-11-05,557.86
ID0686,2021-11-23,35.81
ID0742,2024-08-29,892.75
ID0636,2020-08-10,301.53
ID0543,2024-03-24,13.42
ID0823,2020-07-21,61.86
ID0811,2023-08-19,139.29
ID0279,2022-05-21,319.61
ID1114,2020-03-30,352.87
ID0614,2021-12-01,536.68
ID0618,2024-12-13,807.19
ID0040,2021-10-17,621.58
ID0133,2022-10-05,52.32
ID1128,2021-02-17,286.87
ID1053,2024-12-07,493.52
ID0903,2024-06-08,539.36
ID1179,2022-05-08,356.13
ID0754,2021-03-19,978.10
ID1193,2021-02-02,118.92
ID1159,2020-10-11,659.13
ID0428,2021-09-17,419.38
ID0824,2021-04-28,613.74
ID1196,2024-12-19,541.51
ID0525,2024-01-10,975.59
ID0873,2024-05-18,220.99
ID0420,2024-01-07,506.54
ID0164,2024-03-05,281.16
ID0003,2020-05-28,970.90
ID0071,2021-01-28,646.43
ID1260,2024-04-22,319.93
ID0038,2020-09-10,781.19
ID1254,2022-12-31,343.34
ID0143,2020-12-05,511.25
ID0339,2021-06-26,30.80
ID0013,2024-10-20,653.35
ID0599,2022-04-08,269.97
ID0305,2022-06-28,591.39
ID0245,2020-10-31,862.95
ID1018,2021-01-15,116.69
ID0512,2021-06-01,510.61
ID0845,2022-03-27,618.86
ID0997,2020-06-14,194.58
ID0975,2021-12-31,43.39
ID0956,2020-08-05,830.72
ID1270,2020-03-17,427.37
ID0812,2024-05-30,687.15
ID0505,2023-12-17,540.96
ID0979,2023-01-18,122.59
ID1141,2021-04-28,264.32
ID0121,2022-03-11,112.53
ID1023,2022-08-09,376.51
ID0164,2020-01-15,135.61
ID0548,2022-12-07,167.91
ID0401,2021-05-08,29.65
ID0062,2021-08-24,473.49
ID0880,2021-09-15,140.77
ID0425,2021-07-27,503.48
ID0762,2021-11-26,522.61
ID0131,2024-05-30,399.47
ID1018,2021-10-01,545.21
ID0838,2023-08-20,45.17
ID0866,2021-10-13,913.03
ID0846,2020-11-18,528.25
ID0571,2024-08-20,127.34
ID1003,2020-02-09,345.66
ID0012,2020-03-29,942.56
ID0947,2022-06-14,177.64
ID0235,2020-01-16,278.61
ID0485,2020-03-31,298.07
ID0345,2023-12-20,334.19
ID0458,2024-08-15,170.57
ID0560,2020-04-11,327.87
ID0996,2022-05-14,312.52
ID0756,2021-12-25,294.22
ID0875,2024-07-12,338.29
ID0718,2021-03-14,123.86
ID1095,2022-06-27,546.47
ID0020,2021-09-01,634.32
ID0791,2021-02-13,471.34
ID0181,2023-04-26,891.08
ID0663,2023-11-20,965.32
ID0652,2024-09-18,254.59
ID0246,2020-08-11,403.40
ID0066,2020-12-04,838.96
ID0139,2022-08-12,259.47
ID0588,2021-01-29,248.23
ID0620,2022-03-03,104.48
ID0823,2022-12-03,735.16
ID0772,2020-11-11,971.33
ID1027,2021-10-21,225.46
ID0568,2022-04-22,967.94
ID1123,2023-04-29,188.80
ID0879,2020-09-07,536.20
ID0551,2024-01-28,527.87
ID1263,2024-03-21,877.06
ID0539,2021-04-10,276.68
ID0376,2021-06-19,477.93
ID0604,2024-03-17,330.76
ID0677,2021-11-28,344.35
ID0107,2023-07-25,480.30
ID0376,2020-02-17,914.22
ID0471,2021-11-13,635.25
ID0863,2020-03-04,251.66
ID1246,2023-11-30,767.86
ID0179,2022-08-15,636.38
ID0147,2024-09-18,232.94
ID0922,2020-10-02,935.42
ID0405,2022-06-26,541.51
ID0548,2024-07-26,756.28
ID1305,2023-12-09,441.46
ID0005,2023-10-13,579.33
ID0348,2022-02-28,601.02
ID0614,2023-09-23,961.88
ID0759,2022-11-19,896.65
ID1303,2020-03-09,299.69
ID0235,2021-06-25,957.97
ID0486,2020-11-23,642.63
ID0081,2021-02-01,216.62
ID0576,2021-03-24,374.73
ID1299,2023-12-17,335.27
ID0730,2021-01-01,789.80
ID0838,2022-06-07,633.98
ID1079,2021-11-18,737.99
ID0287,2022-04-10,175.18
ID0012,2021-08-03,323.23
ID0283,2023-11-30,277.98
ID0706,2021-12-07,346.77
ID0158,2020-01-24,294.92
ID0471,2021-02-13,844.51
ID1235,2022-12-24,198.74
ID0848,2021-08-22,434.50
ID0698,2021-08-09,902.57
ID0476,2024-06-01,129.66
ID0034,2024-06-03,264.04
ID0045,2022-04-29,195.03
ID0210,2023-06-26,792.70
ID0023,2022-04-25,543.44
ID1306,2021-09-05,579.32
ID1134,2024-01-08,477.34
ID0701,2022-01-11,788.79
ID0394,2020-02-23,426.87
ID0942,2023-04-28,182.64
ID0333,2022-11-08,979.25
ID0677,2023-04-12,12.20
ID0096,2022-06-06,823.15
ID1170,2023-12-22,312.44
ID1135,2022-08-31,40.40
ID0560,2024-12-15,43.41
ID0300,2024-06-17,654.05
ID0027,2021-10-25,607.06
ID0924,2024-03-29,274.19
ID1032,2023-03-20,919.67
ID1033,2024-07-02,170.85
ID1278,2023-01-09,355.67
ID1133,2022-04-26,20.31
ID0963,2024-02-07,343.74
ID0777,2023-05-19,673.46
ID0263,2021-12-09,473.24
ID0253,2024-01-23,186.79
ID1264,2021-06-16,966.49
ID0269,2020-01-20,778.87
ID0254,2023-01-31,419.91
ID0822,2020-03-23,600.66
ID0128,2023-02-07,741.58
ID0086,2023-11-01,788.96
ID0614,2022-02-07,374.42
ID0705,2021-10-10,28.46
ID0568,2022-08-30,844.24
ID0421,2020-05-22,170.21
ID0899,2023-08-31,950.49
ID0834,2020-05-15,922.94
ID0668,2022-04-12,234.78
ID0619,2024-04-21,947.47
ID0570,2024-09-12,714.29
ID0826,2022-12-17,363.52
ID1073,2020-01-23,904.93
ID0088,2021-08-02,829.06
ID1101,2020-02-05,718.97
ID0177,2022-05-31,388.74
ID0641,2022-08-03,975.13
ID1294,2023-07-19,403.87
ID0654,2020-06-16,789.49
ID0910,2024-08-19,650.70
ID0795,2023-03-03,238.72
ID0971,2021-08-04,979.55
ID0495,2024-05-11,102.54
ID0183,2022-12-24,912.96
ID0708,2020-02-24,929.21
ID0577,2021-12-18,592.19
ID0704,2020-05-17,684.90
ID0609,2024-01-20,491.63
ID0713,2022-11-01,648.95
ID1065,2024-11-01,241.34
ID0800,2020-06-16,650.32
ID0997,2021-09-12,971.53
ID0498,2021-10-30,303.83
ID0973,2021-04-25,167.22
ID0498,2023-03-13,262.96
ID1103,2020-11-06,710.45
ID0730,2020-09-09,96.04
ID0353,2021-09-13,465.46
ID1009,2020-01-07,967.83
ID0890,2022-08-09,858.66
ID0405,2024-02-13,705.20
ID1126,2021-03-27,125.46
ID0673,2022-11-18,780.18
ID0349,2020-02-08,679.88
ID0506,2020-04-08,621.30
ID1047,2022-12-22,832.87
ID0427,2023-11-15,547.66
ID0198,2022-01-23,189.71
ID1186,2020-12-09,516.36
ID0054,2023-11-29,735.34
ID1062,2021-03-19,169.66
ID0385,2023-04-05,659.88
ID0658,2021-12-04,651.91
ID0776,2022-09-07,804.96
ID1117,2020-05-20,568.23
ID0025,2024-04-09,636.67
ID0658,2021-10-12,914.44
ID0792,2022-12-19,382.30
ID1122,2024-07-10,958.31
ID1043,2022-11-07,370.55
ID1118,2022-08-07,242.66
ID0056,2021-06-07,79.57
ID0487,2020-10-12,650.40
ID0508,2021-01-31,486.88
ID0896,2023-06-07,525.84
ID1020,2020-05-23,500.00
ID0596,2023-03-17,442.00
ID1009,2021-04-08,887.54
ID0429,2024-06-16,59.19
ID0265,2024-12-23,230.20
ID0495,2024-12-21,533.78
ID0954,2021-02-10,131.52
ID0175,2022-08-20,737.17
ID1145,2023-03-30,147.66
ID0305,2023-12-07,452.43
ID0377,2021-03-01,29.38
ID0553,2020-09-26,393.27
ID0451,2024-02-08,842.03
ID0808,2020-04-03,524.01
ID1033,2020-04-08,575.63
ID1273,2022-07-16,324.65
ID0240,2023-02-02,290.04
ID0566,2023-07-22,389.64
ID1097,2020-08-02,467.90
ID0995,2021-09-01,299.30
ID0371,2021-10-24,243.95
ID0881,2024-11-12,460.04
ID0580,2024-12-02,914.11
ID1045,2020-03-17,853.13
ID0923,2021-07-11,940.47
ID1265,2021-07-05,78.87
ID0723,2022-03-12,961.88
ID0134,2022-04-01,725.11
ID1263,2022-02-19,876.65
ID0905,2023-01-30,612.25
ID0436,2023-12-23,982.36
ID1206,2020-06-11,247.85
ID0606,2024-08-14,940.77
ID1098,2024-05-14,972.80
ID1053,2022-02-02,696.72
ID0907,2020-10-14,425.22
ID0953,2021-08-14,511.23
ID0205,2024-10-09,959.82
ID0873,2023-07-29,238.84
ID1097,2020-01-10,932.88
ID0560,2024-10-04,120.14
ID1209,2024-06-11,420.26
ID0860,2024-02-22,229.97
ID0147,2024-11-17,494.28
ID0377,2020-12-31,805.35
ID0831,2022-03-01,112.60
ID0510,2020-04-09,682.16
ID1026,2020-01-29,776.95
ID0994,2024-01-31,794.16
ID0935,2021-11-22,931.62
ID0245,2023-07-11,752.76
ID0931,2020-08-15,859.60
ID0993,2020-05-06,691.64
ID0327,2020-08-21,886.26
ID0873,2023-06-08,312.06
ID1013,2023-09-07,664.34
ID0110,2023-06-21,446.45
ID0646,2024-12-17,840.39
ID0797,2024-01-13,203.99
ID0728,2020-11-23,188.34
ID0832,2023-03-04,865.23
ID1124,2022-10-23,17.81
ID1117,2022-09-16,757.05
ID1035,2024-12-23,899.40
ID0207,2024-10-19,155.03
ID0738,2023-07-24,27.56
ID0332,2024-11-22,727.14
ID0331,2023-08-15,554.05
ID0353,2024-08-09,610.56
ID0009,2021-05-28,560.89
ID0003,2023-12-19,182.37
ID0815,2022-12-28,49.00
ID0552,2023-05-26,132.38
ID1014,2024-09-12,43.46
ID0271,2021-08-06,87.26
ID1075,2022-10-21,917.61
ID0650,2022-01-07,614.80
ID0630,2022-02-07,164.70
ID0539,2024-04-16,524.04
ID1099,2021-11-25,91.02
ID1294,2022-07-08,837.58
ID0838,2024-03-04,349.66
ID1275,2022-09-25,191.23
ID0260,2021-04-05,82.39
ID0604,2024-08-03,756.62
ID0204,2023-12-19,22.54
ID0313,2020-12-07,385.96
ID0809,2023-10-30,226.33
ID0885,2023-08-15,184.88
ID0546,2022-06-11,565.27
ID0677,2023-06-08,606.23
ID1020,2021-03-21,701.09
ID0081,2023-12-31,963.60
ID0860,2021-04-15,544.97
ID1090,2023-04-02,622.62
ID0640,2022-02-28,630.83
ID0280,2020-11-29,287.85
ID0294,2022-12-07,221.21
ID0394,2022-03-05,749.04
ID0676,2023-06-27,152.02
ID0247,2024-04-19,91.20
ID0413,2023-12-02,798.43
ID0452,2023-08-19,904.36
ID0600,2022-03-17,598.61
ID0502,2024-06-18,279.74
ID1061,2021-06-19,166.44
ID0871,2022-05-23,505.48
ID0362,2023-06-18,321.40
ID0566,2024-06-17,81.96
ID0683,2020-07-20,215.69
ID0283,2021-01-22,301.76
ID1286,2020-04-01,84.27
ID1077,2020-05-04,22.19
ID0303,2024-09-10,242.44
ID0767,2020-06-09,294.53
ID0165,2022-05-02,47.30
ID0290,2020-09-22,752.92
ID1267,2023-06-19,919.41
ID1006,2022-11-22,417.32
ID0284,2024-03-19,280.03
ID0968,2024-02-06,475.96
ID0094,2024-10-19,135.02
ID0887,2021-04-02,420.15
ID1219,2021-03-11,551.90
ID0784,2024-06-18,546.09
ID0333,2022-03-31,649.13
ID0593,2024-11-18,855.27
ID0676,2024-10-25,269.17
ID0802,2020-03-27,91.24
ID0395,2020-05-11,110.34
ID0835,2020-02-03,529.43
ID0653,2021-12-16,34.03
ID0921,2024-02-08,840.87
ID0398,2024-05-04,646.91
ID0974,2021-04-28,245.76
ID0304,2022-04-30,964.91
ID1217,2023-10-05,267.04
ID0448,2020-10-30,936.67
ID0789,2024-05-16,143.63
ID0670,2024-01-12,378.80
ID0005,2022-10-28,56.54
ID0611,2024-04-23,884.74
ID1019,2023-02-26,47.10
ID1237,2021-10-06,669.72
ID0555,2020-02-11,405.31
ID0166,2020-01-03,708.79
ID0333,2022-04-12,875.14
ID0159,2020-03-16,195.16
ID0760,2022-01-15,115.02
ID1188,2020-11-02,605.79
ID0443,2020-05-07,449.03
ID0516,2021-06-30,834.13
ID0368,2021-05-19,82.76
ID0211,2023-08-03,215.98
ID0131,2021-05-15,568.30
ID0889,2021-04-23,398.88
ID0696,2024-06-24,898.07
ID0922,2021-06-23,888.72
ID0759,2020-06-29,678.09
ID0714,2020-06-14,946.94
ID0461,2022-09-13,575.25
ID1118,2024-04-26,675.14
ID0438,2024-03-14,534.13
ID0417,2020-08-21,302.11
ID0562,2020-09-09,620.41
ID0231,2024-03-14,875.31
ID0677,2023-03-12,121.82
ID0504,2022-12-21,904.59
ID0756,2022-08-15,855.85
ID0975,2023-07-31,21.07
ID1240,2020-02-03,935.28
ID1040,2021-05-10,252.98
ID0745,2021-09-26,403.91
ID1133,2024-08-05,350.58
ID0445,2022-12-03,45.09
ID0888,2020-11-29,544.58
ID1062,2021-11-04,994.15
ID1254,2024-08-01,623.84
ID0639,2024-04-26,251.45
ID0297,2021-05-14,670.60
ID0705,2020-06-09,514.80
ID0467,2024-03-06,666.29
ID0295,2021-04-02,108.29
ID0667,2020-08-30,287.10
ID0196,2024-03-09,376.01
ID1112,2021-01-25,932.57
ID0539,2023-10-26,893.57
ID0763,2023-07-15,667.96
ID1127,2021-11-08,206.22
ID0644,2021-04-17,791.80
ID0994,2023-09-07,300.96
ID0654,2021-07-31,77.62
ID0200,2024-07-03,810.53
ID0464,2021-06-24,245.28
ID0288,2022-03-30,693.78
ID1044,2021-01-12,170.39
ID1081,2022-06-18,744.98
ID0036,2024-09-21,867.37
ID0069,2020-07-22,769.21
ID0956,2024-06-14,827.83
ID0453,2023-03-05,33.62
ID0094,2023-12-19,257.90
ID1231,2023-10-27,276.72
ID0351,2023-11-24,281.88
ID0453,2023-12-09,25.57
ID1019,2022-12-30,403.12
ID0933,2020-12-29,858.15
ID0832,2020-10-25,953.50
ID0320,2023-08-16,11.82
ID1112,2021-04-07,474.45
ID0765,2023-09-25,680.10
ID1023,2024-01-26,332.26
ID0802,2024-09-27,918.17
ID0256,2020-10-28,55.65
ID1255,2024-11-23,110.56
ID0062,2022-04-30,176.14
ID1132,2020-02-15,304.96
ID0975,2022-10-18,114.27
ID1028,2021-03-31,387.45
ID0343,2020-08-14,15.94
ID1279,2020-03-01,247.40
ID1078,2022-12-05,497.33
ID1066,2024-11-16,699.34
ID0661,2020-11-29,225.70
ID1297,2022-01-20,165.13
ID0183,2020-08-23,381.10
ID0612,2021-04-15,18.00
ID0677,2020-04-26,227.94
ID0497,2023-06-11,166.08
ID0330,2021-05-09,188.77
ID1258,2024-05-07,954.40
ID1023,2024-04-17,365.79
ID1194,2023-10-21,910.35
ID0169,2020-01-23,306.06
ID1218,2024-06-28,523.77
ID0277,2021-02-17,992.46
ID0637,2023-04-27,944.63
ID0071,2023-11-14,206.90
ID0387,2023-12-23,269.30
ID0278,2021-11-17,268.93
ID1255,2021-10-20,405.83
ID0108,2024-04-11,878.02
ID0941,2020-08-10,750.36
ID0348,2024-08-19,403.37
ID1101,2022-02-19,388.97
ID0416,2023-10-27,535.19
ID0841,2024-10-17,657.95
ID0171,2024-01-25,885.36
ID0390,2020-02-24,773.40
ID0607,2023-11-27,255.81
ID0223,2020-05-27,47.66
ID0326,2023-12-29,593.57
ID1037,2021-12-28,170.81
ID0198,2023-07-11,424.38
ID0193,2021-09-24,805.07
ID1118,2022-07-23,117.99
ID0610,2024-02-24,489.79
ID0613,2024-01-07,643.24
ID0571,2022-06-18,949.87
ID0760,2023-07-28,429.63
ID0419,2023-10-03,807.63
ID0179,2021-02-08,37.08
ID0031,2021-04-10,472.48
ID0664,2022-02-13,528.55
ID0470,2023-03-28,49.85
ID0341,2021-01-24,112.79
ID1017,2020-01-04,420.88
ID0958,2023-09-01,426.23
ID0341,2020-05-20,677.36
ID0294,2020-01-09,119.67
ID0180,2023-03-31,543.86
ID0022,2021-04-20,614.84
ID1158,2023-02-24,178.93
ID0376,2022-05-22,904.85
ID0477,2021-04-14,685.92
ID1248,2022-01-23,732.91
ID1261,2021-08-04,804.98
ID0571,2020-12-03,19.53
ID0955,2023-08-23,620.16
ID0351,2024-11-29,120.92
ID0762,2022-06-10,315.09
ID0971,2021-06-09,261.60
ID1165,2023-06-03,945.14
ID0868,2021-03-25,753.99
ID0685,2022-09-20,134.33
ID0083,2024-04-08,313.62
ID0437,2020-01-16,59.35
ID0700,2022-12-24,627.42
ID0678,2020-05-26,663.67
ID0182,2020-10-06,383.62
ID1026,2024-11-13,584.27
ID1274,2022-10-20,334.40
ID0448,2024-09-16,186.43
ID0862,2023-05-21,869.26
ID0615,2022-10-07,51.52
ID0903,2022-05-12,372.12
ID0865,2022-01-07,314.67
ID1138,2020-07-12,790.00
ID0928,2024-10-19,960.35
ID0390,2021-05-11,517.05
ID1165,2021-03-20,434.45
ID0372,2020-09-14,20.93
ID0604,2024-11-13,700.14
ID0689,2023-12-03,908.73
ID0314,2020-05-13,981.70
ID0649,2024-01-23,156.73
